drug,region,region_id,wdeg_lo,wdeg_med,wdeg_hi,closeness_lo,closeness_med,closeness_hi,betweenness_lo,betweenness_med,betweenness_hi
PSI,Nodulus (X),968,101.12004662263969,128.8177982046288,191.54089907378625,10.577164100801552,56.607676590086285,163.73232090953059,0.0012261089073205913,0.09505950234403174,0.46314460872701047
PSI,Paragigantocellular reticular nucleus dorsal part,970,102.4231239869047,151.93744917454657,186.2461121952104,14.546963055657939,78.70745466443975,125.90013711028371,0.0,0.003281644428416877,0.18002163721601155
PSI,Prelimbic area,972,168.2839679957719,176.86057792969297,193.90476110772096,20.809820929874107,120.05403092228755,159.44569014203012,0.0,0.016214088231758624,0.46141363144608727
PSI,Edinger-Westphal nucleus,975,161.19631282408636,171.1106126068603,189.49172297603866,19.84185819270989,111.68405096880899,146.88897398582688,0.0,0.1290659935088352,0.4277677605481428
PSI,Paragigantocellular reticular nucleus lateral part,978,156.96053394205995,171.9498035085731,188.99020779161398,18.643940673049027,108.47511982952507,147.2185876901251,0.0,0.05315542733501623,0.37998557518932563
PSI,Dorsal premammillary nucleus,980,147.58713489527614,164.05613267169122,193.4120966555733,17.390359402757667,103.82524820324143,129.6953380560125,0.0,0.1314010097367472,0.3734944103858637
PSI,Fasciola cinerea,982,141.58269974248702,158.88529314050297,187.15508379042356,13.787442465500757,88.66838048466,147.1831292129409,0.0012621709340064928,0.1428777497295348,0.29397764154345474
PSI,Primary motor area,985,167.28155798808095,178.08163990230355,193.117963647949,21.463290171456194,118.50581981604029,152.32325360103547,0.0,0.0,0.45575189325640103
PSI,Fastigial nucleus,989,91.09850114392285,122.9706034966137,164.05613267169122,10.551245343685553,56.12133940835665,112.10749159561502,0.0,0.0284529390551749,0.16134150739271547
PSI,Secondary motor area,993,108.48317184879554,147.5378972324385,186.11012423941344,13.886245780683486,73.81777022849545,116.17407919654121,0.0,0.04900829426613776,0.24926072845293906
PSI,Fundus of striatum,998,139.66281309698658,162.09991501489566,181.99761668725898,13.166608010089437,93.52946667858244,122.02111604025407,0.0,0.17930039668229356,0.43483591777857916
PSI,Primary auditory area,1002,128.3796522197851,154.32497013477018,191.39643514015455,15.914449359148442,91.01958971172812,163.39920754870826,0.0,0.003101334294987378,0.26361341507392716
PSI,Ventral premammillary nucleus,1004,120.9532215273515,140.05852193710604,190.66026604751573,15.832948323544315,82.99371659999973,160.58157754517927,0.0,0.1589614136314461,0.3303281644428417
PSI,Simple lobule,1007,153.25408633729475,172.6939095840882,193.23949438932172,19.38019731510207,106.13667136101346,160.58570702816633,0.0,0.062459430219978365,0.42405337179949515
PSI,fiber tracts,1009,164.12790082468427,180.38502677185517,194.02147684591523,21.75685545861506,121.60994489298481,164.49842777172077,0.0,0.006457678635825047,0.4435989902632528
PSI,Dorsal auditory area,1011,148.56639412057405,168.78533279086048,193.43241401806733,20.05073449499319,111.55004186552625,150.09232558933522,0.0,0.12408943382618103,0.39805265055896144
PSI,Ansiform lobule,1017,158.18898519651955,170.2934230417829,188.9451511055961,19.496436717562585,106.307376109644,149.21636527834391,0.0,0.10833032816444284,0.40796970789758386
PSI,Ventral auditory area,1018,108.29562195917268,149.0509553607319,194.13292015217462,15.833721394257646,86.98722155908507,122.12645438198864,0.003371799495131626,0.05337179949513163,0.4366209880995312
PSI,Posterior complex of the thalamus,1020,112.29712996722236,133.821966196321,188.09211716300024,8.988213541507314,56.99700603018508,147.19944929208515,0.0,0.0716913090515687,0.244608727010458
PSI,Paramedian lobule,1025,160.33058179051574,177.72542832207463,193.76003065364623,19.908334636934512,107.95933020280486,160.7945708002393,0.0,0.06419040750090155,0.42098809953119365
PSI,Posterior auditory area,1027,118.46068789856479,131.5225571158515,181.04106002484838,13.723064897851806,58.47560218277441,137.6738218621703,0.0,0.16375766318067075,0.33314100252434187
PSI,Posterior limiting nucleus of the thalamus,1029,136.78163385357263,158.57253603773006,190.51827484465935,18.93029081705832,103.87524648440365,117.11566411114795,0.0,0.04850342589253516,0.4018752253876668
PSI,Copula pyramidis,1033,141.03140221808118,161.39020719881898,190.12137662828343,18.716256846025118,108.0085932458681,116.9361395285127,0.0,0.02138478182473855,0.35541591537444406
PSI,Postsubiculum,1037,162.13365024711092,180.20536938974976,194.1963044534947,19.290236797298327,113.09977654282449,164.6021406294249,0.0,9.015506671474937e-06,0.4289578074287775
PSI,Paraflocculus,1041,115.01411367543642,137.09950796661093,180.1389441778815,11.447445641665427,69.20438947142898,120.50638010090229,0.0,0.11849981968986657,0.4140641904075009
PSI,Flocculus,1049,122.26134107704432,145.0547152137423,193.94317457996232,15.389670713076132,82.56470670651726,164.29853799716764,0.0,0.00852866931121529,0.2619545618463758
PSI,Gustatory areas,1057,119.89725510663794,157.87546002448508,180.70365024131496,16.021163954543827,89.6343975455376,114.03926729867364,0.0,0.13296069239091238,0.3201226108907321
PSI,Parapyramidal nucleus,1069,135.13175355152782,167.3686434622086,184.41046476922867,15.25704227768805,99.88296427761887,127.96587695446719,0.0,0.1554273350162279,0.382726289217454
PSI,Presubiculum,1084,96.65770319482351,122.55751849510236,177.30270686236503,9.139121864479943,52.63301303675909,130.3273135674663,0.0,0.03144608727010458,0.283808150018031
PSI,Medullary reticular nucleus dorsal part,1098,129.390548908465,155.41472843120866,189.95236720073757,16.308133877434834,95.39116477054446,159.6777561323649,0.0,0.12293544897223224,0.3386945546339704
PSI,Intercalated amygdalar nucleus,1105,158.09194539607344,176.37423388071596,193.3200776231115,21.24955296179574,114.6978638101772,159.16881732830137,0.005156869816083664,0.34633970429138117,0.4441759826902272
PSI,Medullary reticular nucleus ventral part,1107,144.69073622392239,163.4212183240631,191.83078148413796,19.20685415776397,106.45044634872566,118.61193784180294,0.0,0.07850703209520375,0.26393797331410024
PSI,Parastrial nucleus,1109,167.34831998724172,180.09085179129636,193.88902372585187,22.007612075423022,121.02528861584202,164.59598690014408,0.0,0.21390191128741434,0.4557879552830869
PSI,Interanteromedial nucleus of the thalamus,1120,95.86821609270912,125.80056594727571,187.98244407961596,7.483602417718723,55.736519729351485,147.53136338161713,0.0,0.0,0.2364046159394158
PSI,Tuberomammillary nucleus dorsal part,1126,96.08516371894686,143.30467260812947,176.20525890595383,8.845962625442864,75.88577585994295,123.40280700189187,0.0,0.05485034258925356,0.16422646952758746
PSI,Median eminence,10671,140.18363155355007,164.36040041847326,184.60657059732486,12.442689886046105,93.85034308238002,138.72775328614154,0.008041831950955643,0.21669671835557158,0.4329606923909124
KET,Tuberomammillary nucleus ventral part,1,174.14509311434705,188.65804600606626,211.1681206709958,29.145004513231903,144.38652077654947,183.50920256338665,0.0,0.3149657410746484,0.43580959249909845
KET,Inferior colliculus,4,175.8862793713041,188.82527751741748,211.3865312703279,28.798549026770925,144.41999422926256,184.26590883278558,0.0,0.010133429498737828,0.3721601153984854
KET,Principal sensory nucleus of the trigeminal,7,156.19030271081496,179.85963960807328,210.73656572558224,26.10142572241064,128.15440971719357,180.85743434781403,0.0,0.006166606563288857,0.39152542372881355
KET,Interfascicular nucleus raphe,12,174.49086601386213,188.9356304279223,210.9029339563122,28.057766162153253,144.92971673589358,181.36864052083288,0.0,0.0019473494410385864,0.45005409304002886
KET,Induseum griseum,19,174.2122624705186,188.92462124991738,210.77176957112516,28.051199480943314,144.51500911860404,180.998559267192,0.0,0.0010277677605481429,0.4849621348719798
KET,Anterior amygdalar area,23,173.84080032205662,187.43234535012607,211.0631931893157,27.407643510901494,139.9712483114749,182.15575802583203,0.0,0.05981112513523262,0.416891453299675
KET,Intergeniculate leaflet of the lateral geniculate complex,27,171.8629653016269,185.45000001744307,210.9283458155166,26.199166691989166,136.8463405116581,181.3837765172397,0.0,0.05986296429859358,0.46941940137035704
KET,Periventricular hypothalamic nucleus anterior part,30,173.0341572400383,188.92945336073112,210.18247434395494,27.66797056056302,144.37015499248668,178.03638150327285,0.0,0.010971871619184998,0.41056617381896865
KET,Paraventricular hypothalamic nucleus,38,175.10109989760213,188.68942049188823,211.03689183113903,28.46891545636307,144.42728799246012,182.1942145466627,0.0,0.17428777497295347,0.4567796610169486
KET,Anterior cingulate area dorsal part,39,121.82054768089182,155.07663751359289,211.29205589381988,20.97827885837432,97.22152905534813,184.10620787491655,0.0011900468806346916,0.1851785070320952,0.41332491886044
KET,Infralimbic area,44,163.17962109456226,177.46738595923927,210.88397079927776,24.2558289400687,127.20577972092633,181.38021354580914,0.0,0.09006619957755908,0.3896501983411468
KET,Anterior cingulate area ventral part,48,144.20970533628739,174.53547225420698,211.34618944012666,24.07275556938095,123.62525701437437,183.56951816626858,0.0,0.005343190287294147,0.30717634331049404
KET,Nucleus accumbens,56,135.0729745556954,167.63889366498736,211.39019614697284,21.11069871999152,107.41289138397579,184.29346149086362,0.0,0.22087991345113595,0.4524341868012982
KET,Paraventricular hypothalamic nucleus descending division,63,168.26003870252066,188.66507998050054,208.4269344058704,26.381670516630418,139.93031866586293,172.7689019584807,0.0,0.04835917778579156,0.4638838802740714
KET,Lateral terminal nucleus of the accessory optic tract,66,172.44033325084507,187.50516280064994,209.6176222015934,26.55634866110771,141.8870198084824,173.8391500312646,0.0,0.013604399567255681,0.45989902632527946
KET,Anterodorsal preoptic nucleus,72,165.24815416206255,179.70475383513076,210.44611251963022,24.658671544969927,131.12021338282122,179.27317065298124,0.0,7.21240533717995e-05,0.3995672556797692
KET,Dorsal terminal nucleus of the accessory optic tract,75,163.46167192051922,177.7817790389522,210.34488405566748,24.578434101634805,129.88714129135485,178.86196581181028,0.0,0.0,0.32632527948070683
KET,Inferior olivary complex,83,174.43482532633976,188.65129585027586,210.76775927066004,28.33200781857404,144.27026702673064,180.9688778600427,0.00031491438000633815,0.35041471330688784,0.45344392354850344
KET,Anterior hypothalamic nucleus,88,175.84209392947372,188.86721328308658,211.39027121503057,28.950428341470893,144.2275584061736,184.27511641179532,0.0,0.013619425411708167,0.44641182834475296
KET,Interposed nucleus,91,175.35109787084738,188.86939651758252,211.31690338898,28.044951235992432,144.80335684265884,183.63999340230205,0.0,0.0042793605000600934,0.4860800576992427
KET,Dorsal cochlear nucleus,96,175.307069370384,188.7445988436567,211.3750831774879,29.020382062051198,144.03060966239673,183.89611068203706,0.003606202668589975,0.21476739992787594,0.4573025604038947
KET,Interpeduncular nucleus,100,157.1634151446944,187.34480367878285,208.27096517100586,25.918455836666382,138.51691437892748,169.19088223681928,0.0,0.31429859358095924,0.4391272989542012
KET,Ventral cochlear nucleus,101,115.02521005923214,140.85698245235335,188.27880824797217,14.913190068516306,72.12127302907297,144.47575321531662,0.0,0.09798052650558961,0.20100973674720518
KET,Agranular insular area dorsal part,104,173.5672320475304,187.8907702355699,211.22794269815887,28.836573802724292,142.99343712079792,183.31558042157556,0.0,0.005603638257803422,0.441723764875586
