drug,region,region_id,delta_eg,is_articulation_point,residual_gc
PSI,External cuneate nucleus,903,-0.045847834365531526,False,
PSI,Paracentral nucleus,907,-0.180346158449872,False,
PSI,Lingula (I),912,-0.21191554214126995,False,
PSI,Entorhinal area lateral part,918,-0.0010031081604111591,False,
PSI,Central lobule,920,-0.1846605767006153,False,
PSI,Perirhinal area,922,-0.20139168873428304,True,0.5296610169491526
PSI,Entorhinal area medial part dorsal zone,926,-0.19843255378964386,False,
PSI,Culmen,928,0.0932233615394793,False,
PSI,Parafascicular nucleus,930,0.06580107970761162,True,0.4915254237288136
PSI,Pontine gray,931,-0.15453899107738778,False,
PSI,Declive (VI),936,-0.008098709354669609,True,0.5042372881355932
PSI,Folium-tuber vermis (VII),944,-0.035212046991802026,True,0.5211864406779662
PSI,Posterior hypothalamic nucleus,946,0.1373203211702716,False,
PSI,Pyramus (VIII),951,0.09323566167215347,False,
PSI,Uvula (IX),957,-0.2160335459499123,False,
PSI,Piriform area,961,0.35974205147832095,False,
PSI,Nodulus (X),968,-0.20077718706266268,False,
PSI,Paragigantocellular reticular nucleus dorsal part,970,-0.13232451505228227,True,0.5211864406779662
PSI,Prelimbic area,972,0.14094239369670447,False,
PSI,Edinger-Westphal nucleus,975,0.0797358817726348,False,
PSI,Paragigantocellular reticular nucleus lateral part,978,0.026681244937400095,False,
PSI,Dorsal premammillary nucleus,980,0.004796756767518673,False,
PSI,Fasciola cinerea,982,-0.15133140997547656,False,
PSI,Primary motor area,985,0.45509576841975985,False,
PSI,Fastigial nucleus,989,-0.1823281681638136,False,
PSI,Secondary motor area,993,-0.09219629868967161,False,
PSI,Fundus of striatum,998,-0.1359857254798129,False,
PSI,Primary auditory area,1002,-0.10026491232758161,False,
PSI,Ventral premammillary nucleus,1004,-0.0909474552007481,False,
PSI,Simple lobule,1007,0.03408275886532408,False,
PSI,fiber tracts,1009,0.6475556547292669,False,
PSI,Dorsal auditory area,1011,0.5280604317984725,False,
PSI,Ansiform lobule,1017,0.03605797968059932,False,
PSI,Ventral auditory area,1018,0.1637417786795652,False,
PSI,Posterior complex of the thalamus,1020,-0.2128951035698421,False,
PSI,Paramedian lobule,1025,0.028593336226819588,False,
PSI,Posterior auditory area,1027,-0.16540598274465168,False,
PSI,Posterior limiting nucleus of the thalamus,1029,0.16870578026901484,False,
PSI,Copula pyramidis,1033,0.22361712396023137,False,
PSI,Postsubiculum,1037,-0.0224353359617524,False,
PSI,Paraflocculus,1041,-0.17447264232293946,False,
PSI,Flocculus,1049,-0.08074162908120996,False,
PSI,Gustatory areas,1057,-0.07915288498268325,False,
PSI,Parapyramidal nucleus,1069,-0.12436143491174789,False,
PSI,Presubiculum,1084,-0.17153645340719237,False,
PSI,Medullary reticular nucleus dorsal part,1098,-0.014232840696863036,False,
PSI,Intercalated amygdalar nucleus,1105,0.45535698089453547,False,
PSI,Medullary reticular nucleus ventral part,1107,0.37952712046693193,False,
PSI,Parastrial nucleus,1109,0.5166958563946054,False,
PSI,Interanteromedial nucleus of the thalamus,1120,-0.24678509819621297,False,
PSI,Tuberomammillary nucleus dorsal part,1126,-0.1918035342279154,False,
PSI,Median eminence,10671,-0.18998129852780465,False,
KET,Tuberomammillary nucleus ventral part,1,0.8950028501807665,False,
KET,Inferior colliculus,4,0.7413753923846613,False,
KET,Principal sensory nucleus of the trigeminal,7,0.42249139401141633,False,
KET,Interfascicular nucleus raphe,12,0.8686396524299909,False,
KET,Induseum griseum,19,0.7634781736976848,False,
KET,Anterior amygdalar area,23,0.5324738535468754,False,
KET,Intergeniculate leaflet of the lateral geniculate complex,27,0.07455768569363386,False,
KET,Periventricular hypothalamic nucleus anterior part,30,0.34826282740407777,False,
KET,Paraventricular hypothalamic nucleus,38,0.7446482148592182,False,
KET,Anterior cingulate area dorsal part,39,0.0050772667184944,False,
KET,Infralimbic area,44,0.19714523300197584,False,
KET,Anterior cingulate area ventral part,48,0.27712046589071804,False,
KET,Nucleus accumbens,56,-0.03745570306944046,False,
KET,Paraventricular hypothalamic nucleus descending division,63,0.16767350707009143,False,
KET,Lateral terminal nucleus of the accessory optic tract,66,0.19514156964946494,False,
KET,Anterodorsal preoptic nucleus,72,0.37035823324842454,True,0.5677966101694916
KET,Dorsal terminal nucleus of the accessory optic tract,75,0.5040115826966982,False,
KET,Inferior olivary complex,83,0.6636542432925339,False,
KET,Anterior hypothalamic nucleus,88,1.0816902681811058,False,
KET,Interposed nucleus,91,0.376344142981317,False,
KET,Dorsal cochlear nucleus,96,1.074169980190291,False,
KET,Interpeduncular nucleus,100,0.13335511255091603,False,
KET,Ventral cochlear nucleus,101,-0.25790795638215513,False,
