comparison,direction,edges_removed,frac,PSI_Eg,SAL_Eg,null_mean_Eg,null_lo_Eg,null_hi_Eg,obs1_p_vs_null,obs2_p_vs_null,KET_Eg
PSI_vs_KET,weak,1199,0.04285714285714286,37.238291655026075,,137.274447064828,106.74819102405262,170.59352430726057,1.0,1.0,55.692790730677125
PSI_vs_KET,weak,2397,0.08571428571428572,37.238291655026075,,137.274447064828,106.74819102405262,170.59352430726057,1.0,1.0,55.692790730677125
PSI_vs_KET,weak,3596,0.12857142857142856,37.238291655026075,,137.274447064828,106.74819102405262,170.59352430726057,1.0,1.0,55.692790730677125
PSI_vs_KET,weak,4794,0.17142857142857143,37.238291655026075,,137.274447064828,106.74819102405262,170.59352430726057,1.0,1.0,55.692790730677125
PSI_vs_KET,weak,5993,0.2142857142857143,37.238291655026075,,137.274447064828,106.74819102405262,170.59352430726057,1.0,1.0,55.692790730677125
PSI_vs_KET,weak,7191,0.2571428571428571,37.238291655026075,,137.274447064828,106.74819102405262,170.59352430726057,1.0,1.0,55.692790730677125
PSI_vs_KET,weak,8390,0.3,37.238291655026075,,137.274447064828,106.74819102405262,170.59352430726057,1.0,1.0,55.692790730677125
PSI_vs_KET,weak,9588,0.34285714285714286,37.238291655026075,,137.274447064828,106.74819102405262,170.59352430726057,1.0,1.0,55.692790730677125
PSI_vs_KET,weak,10787,0.38571428571428573,37.238291655026075,,137.274447064828,106.74819102405262,170.59352430726057,1.0,1.0,55.692790730677125
PSI_vs_KET,weak,11985,0.4285714285714286,37.238291655026075,,137.274447064828,106.74819102405262,170.59352430726057,1.0,1.0,55.692790730677125
PSI_vs_KET,weak,13184,0.4714285714285714,37.238291655026075,,137.274447064828,106.74819102405262,170.59352430726057,1.0,1.0,55.692790730677125
PSI_vs_KET,weak,14383,0.5142857142857142,37.238291655026075,,137.274447064828,106.74819102405262,170.59352430726057,1.0,1.0,55.692790730677125
PSI_vs_KET,weak,15581,0.5571428571428572,37.238291655026075,,137.274447064828,106.74819102405262,170.59352430726057,1.0,1.0,55.692790730677125
PSI_vs_KET,weak,16780,0.6,37.238291655026075,,137.274447064828,106.74819102405262,170.59352430726057,1.0,1.0,55.692790730677125
PSI_vs_KET,strong,0,0.0,37.238291655026075,,136.9842235480508,105.88134684542946,171.82361706450638,1.0,1.0,55.692790730677125
PSI_vs_KET,strong,1199,0.04285714285714286,10.18291830922543,,18.20815481962939,13.99518803463041,22.448693743723812,0.009900990099009901,0.009900990099009901,15.207609256175655
PSI_vs_KET,strong,2397,0.08571428571428572,6.6015691991635705,,10.36400915405806,8.051902993954076,12.679603941739552,0.009900990099009901,0.009900990099009901,9.83916879500241
PSI_vs_KET,strong,3596,0.12857142857142856,4.9415512466773235,,7.171633485264529,5.658972172969322,8.68596932141158,0.009900990099009901,0.009900990099009901,7.27278288560626
PSI_vs_KET,strong,4794,0.17142857142857143,3.926631289499334,,5.385457084094724,4.308473631988746,6.463848206672822,0.009900990099009901,0.009900990099009901,5.679652686441946
PSI_vs_KET,strong,5993,0.2142857142857143,3.2058932044490533,,4.2197607090624825,3.4059000067368848,5.033755570843996,0.009900990099009901,0.009900990099009901,4.563981547821578
PSI_vs_KET,strong,7191,0.2571428571428571,2.642592542022693,,3.4013423836534016,2.7546488867899215,4.048481521984617,0.009900990099009901,0.009900990099009901,3.7491195351545166
PSI_vs_KET,strong,8390,0.3,2.224710548692504,,2.805240577253776,2.281094466987137,3.3299973356918793,0.009900990099009901,0.009900990099009901,3.143807878167455
PSI_vs_KET,strong,9588,0.34285714285714286,1.8863254272638925,,2.338144274789784,1.908367844098939,2.768217644522408,0.009900990099009901,0.009900990099009901,2.65165148698462
PSI_vs_KET,strong,10787,0.38571428571428573,1.59921296244898,,1.9707834373134496,1.614090858705504,2.3272885020766845,0.009900990099009901,0.009900990099009901,2.251772075416001
PSI_vs_KET,strong,11985,0.4285714285714286,1.3658305309449654,,1.6717722875435876,1.3753956484933092,1.9685212532173249,0.009900990099009901,0.009900990099009901,1.9153269313515175
PSI_vs_KET,strong,13184,0.4714285714285714,1.1733645892917133,,1.4261450398272835,1.1783626074105154,1.6743126565074715,0.009900990099009901,0.009900990099009901,1.6298030330034377
PSI_vs_KET,strong,14383,0.5142857142857142,1.0099271897577988,,1.219813384569033,1.0152694886591889,1.424674574180906,0.009900990099009901,0.009900990099009901,1.3919895516806104
PSI_vs_KET,strong,15581,0.5571428571428572,0.8684391846696008,,1.0449335171655538,0.8770504748732122,1.2132041302586174,0.009900990099009901,0.009900990099009901,1.1921150504703124
PSI_vs_KET,strong,16780,0.6,0.7483861219972207,,0.8922483953876214,0.7574121526570855,1.0272529463707787,0.009900990099009901,0.009900990099009901,1.010681223397632
