comparison,metric,region,region_id,diff,p_value,q_value,significant_fdr05
PSI_vs_SAL,wdeg,Dorsal tegmental nucleus,880,32.4827353080821,0.1372862713728627,0.6355273563552735,False
PSI_vs_SAL,wdeg,Retrosplenial area ventral part,886,-6.612703941804654,0.7704229577042295,0.9685936168287933,False
PSI_vs_SAL,wdeg,Retrosplenial area lateral agranular part,894,10.625634108784823,0.6846315368463154,0.9685936168287933,False
PSI_vs_SAL,wdeg,Ectorhinal area,895,-39.75748383773032,0.2840715928407159,0.7210497700229976,False
PSI_vs_SAL,wdeg,External cuneate nucleus,903,15.142850664452652,0.46405359464053597,0.8798456154384562,False
PSI_vs_SAL,wdeg,Paracentral nucleus,907,-37.36932737020706,0.36566343365663434,0.7897811988712632,False
PSI_vs_SAL,wdeg,Lingula (I),912,-43.26072368345703,0.2034796520347965,0.7015037132650371,False
PSI_vs_SAL,wdeg,Entorhinal area lateral part,918,-27.155191533806345,0.34106589341065896,0.7772366994069825,False
PSI_vs_SAL,wdeg,Central lobule,920,-63.64016587218438,0.13558644135586442,0.6355273563552735,False
PSI_vs_SAL,wdeg,Perirhinal area,922,-67.86543532245483,0.029597040295970403,0.34417986772751297,False
PSI_vs_SAL,wdeg,Entorhinal area medial part dorsal zone,926,-22.05686045876132,0.43175682431756823,0.8596315368463154,False
PSI_vs_SAL,wdeg,Culmen,928,-53.97569298091898,0.20387961203879612,0.7015037132650371,False
PSI_vs_SAL,wdeg,Parafascicular nucleus,930,-22.34825149562633,0.5658434156584341,0.9212267452500033,False
PSI_vs_SAL,wdeg,Pontine gray,931,-52.2391621875834,0.0746925307469253,0.5918002794315163,False
PSI_vs_SAL,wdeg,Declive (VI),936,-41.22145670902398,0.17448255174482552,0.7008875383648075,False
PSI_vs_SAL,wdeg,Folium-tuber vermis (VII),944,64.57478813778856,0.019498050194980503,0.34417986772751297,False
PSI_vs_SAL,wdeg,Posterior hypothalamic nucleus,946,68.26420140020196,0.030496950304969503,0.34417986772751297,False
PSI_vs_SAL,wdeg,Pyramus (VIII),951,-32.20540308641472,0.22967703229677033,0.7015037132650371,False
PSI_vs_SAL,wdeg,Uvula (IX),957,-72.82271862837626,0.0160983901609839,0.34417986772751297,False
PSI_vs_SAL,wdeg,Piriform area,961,-3.1157930512173095,0.9103089691030897,1.0,False
PSI_vs_SAL,wdeg,Nodulus (X),968,-50.39081657778705,0.12708729127087293,0.6355273563552735,False
PSI_vs_SAL,wdeg,Paragigantocellular reticular nucleus dorsal part,970,-43.267526139185094,0.36846315368463156,0.7897811988712632,False
PSI_vs_SAL,wdeg,Prelimbic area,972,-1.3701401012455392,1.0,1.0,False
PSI_vs_SAL,wdeg,Edinger-Westphal nucleus,975,-8.763095870203188,0.6656334366563343,0.9560916635609166,False
PSI_vs_SAL,wdeg,Paragigantocellular reticular nucleus lateral part,978,-16.650756471681518,0.5885411458854115,0.9212267452500033,False
PSI_vs_SAL,wdeg,Dorsal premammillary nucleus,980,-26.68848667333566,0.4577542245775422,0.8750923294767297,False
PSI_vs_SAL,wdeg,Fasciola cinerea,982,-10.910567624030762,0.7464253574642535,0.9685936168287933,False
PSI_vs_SAL,wdeg,Primary motor area,985,-6.583952718463621,0.7663233676632337,0.9685936168287933,False
PSI_vs_SAL,wdeg,Fastigial nucleus,989,-35.80520783402859,0.3153684631536846,0.7474232576742326,False
PSI_vs_SAL,wdeg,Secondary motor area,993,-47.452756494442056,0.17768223177682232,0.7015037132650371,False
PSI_vs_SAL,wdeg,Fundus of striatum,998,-11.517950539546518,0.7313268673132687,0.9685936168287933,False
PSI_vs_SAL,wdeg,Primary auditory area,1002,-27.237467914100563,0.45785421457854214,0.8750923294767297,False
PSI_vs_SAL,wdeg,Ventral premammillary nucleus,1004,-42.3060514199596,0.15358464153584642,0.6499921436427786,False
PSI_vs_SAL,wdeg,Simple lobule,1007,-13.085717706053686,0.6556344365563443,0.9507951643860004,False
PSI_vs_SAL,wdeg,fiber tracts,1009,-8.896622633013521,0.6892310768923108,0.9685936168287933,False
PSI_vs_SAL,wdeg,Dorsal auditory area,1011,45.0891589716623,0.28347165283471654,0.7210497700229976,False
PSI_vs_SAL,wdeg,Ansiform lobule,1017,-5.621711478570006,0.8395160483951605,1.0,False
PSI_vs_SAL,wdeg,Ventral auditory area,1018,13.775870661139251,0.8397160283971603,1.0,False
