drug,region,region_id,weighted_degree,weighted_degree_z,closeness,closeness_z,betweenness,betweenness_z,cluster
PSI,Central medial nucleus of the thalamus,599,151.4789766221237,0.5337546475801552,16.563875346032095,0.1392705271038225,0.03523260007212405,-0.3019560188334189,1
PSI,Subparafascicular area,609,151.48370791449918,0.5339400624075278,20.60279072541277,1.03540179820885,0.24832311575910565,3.3175695595534807,0
PSI,Nucleus of the lateral lemniscus,612,151.14421165613675,0.5206355284362019,17.46418324294323,0.33902565546419466,0.0019112874143526867,-0.8679471568313026,0
PSI,Tuberal nucleus,614,158.6825614839063,0.8160562551772585,18.518704057630757,0.5729966574061932,0.003606202668589975,-0.8391575643140943,0
PSI,Cuneiform nucleus,616,135.45093457223874,-0.09436900531407764,14.213327894545722,-0.38225539697140765,0.002596465921384782,-0.8563088109200908,0
PSI,Nucleus of the lateral olfactory tract,619,148.21079627472898,0.4056777825623568,19.776799547610825,0.8521356352523243,0.1605842048323116,1.8272487383967155,0
PSI,Motor nucleus of trigeminal,621,123.2471793021531,-0.5726225134728271,13.797226856440622,-0.4745774976246832,0.005048683736025965,-0.814655783448385,0
PSI,Cortical amygdalar area anterior part,639,165.45286899209606,1.0813781372902342,21.7687847025919,1.2941058231073765,0.1568698160836639,1.764156652667514,1
PSI,Nucleus of the trapezoid body,642,131.15691506118566,-0.2626475269505446,11.95958770462816,-0.8823022836781559,0.02589253516047602,-0.4606050499388863,1
PSI,Cortical amygdalar area posterior part,647,163.18478039596752,0.9924939124015034,21.2685920521333,1.183125960062662,0.11096285611251352,0.984387476616317,1
PSI,Nucleus of the solitary tract,651,121.80772795390419,-0.6290332363927936,11.618833277873419,-0.9579069123716182,0.018896501983411466,-0.5794386871375762,1
PSI,Abducens nucleus,653,107.65965869907731,-1.183482551791628,12.194994597537413,-0.8300715587546735,0.04359899026325279,-0.15984568981230526,1
PSI,Facial motor nucleus,661,103.6634761962681,-1.340089125662861,9.633389922082623,-1.398425643517865,0.026685899747565814,-0.4471290704627462,1
PSI,Caudoputamen,672,143.298328718807,0.21316287298409897,16.944205676488647,0.2236560292640799,0.04186801298232961,-0.1892478268511563,1
PSI,Visceral area,677,163.1967075579838,0.9929613264843351,21.79344258245674,1.2995767714067248,0.1694915254237288,1.97854723524247,0
PSI,Superior central nucleus raphe,679,124.4288269363436,-0.5263148717713948,14.615035555114915,-0.2931268159874464,0.05892535160476019,0.10048573188585559,1
PSI,Ventral medial nucleus of the thalamus,685,123.00788935967975,-0.5820000576731363,11.680905063625033,-0.9441347822226863,0.00980887125856473,-0.7337999065915446,0
PSI,Ventrolateral preoptic nucleus,689,90.53362682207631,-1.8546353768643669,9.962975215655959,-1.325299157735267,0.020735665344392355,-0.5481989165337969,0
PSI,Ventromedial hypothalamic nucleus,693,96.81022560872321,-1.6086614678023765,9.690476268809322,-1.3857596538523962,0.010782545979084025,-0.7172612045071907,1
PSI,Olivary pretectal nucleus,706,144.16250151469984,0.24702897912473826,18.56417172795862,0.5830847621020979,0.04042553191489362,-0.21374960771686555,0
PSI,Cuneate nucleus,711,83.03826742893624,-2.148371349550316,6.269508501051527,-2.144784269664031,0.007573025604038947,-0.7717776669333938,1
PSI,Ventral posterolateral nucleus of the thalamus,718,92.26561031796354,-1.7867605985974224,8.223052422448454,-1.7113432012083287,0.01878831590335377,-0.5812763207025043,0
PSI,Dentate gyrus,726,156.6631575526249,0.7369177446818638,17.81521450203624,0.4169104484991148,0.11868012982329607,1.1154720042478614,1
PSI,Orbital area medial part,731,123.25636386650012,-0.5722625791720598,13.78880883815466,-0.47644523901518027,0.0007573025604038947,-0.8875485815238702,0
PSI,Ventral posteromedial nucleus of the thalamus,733,92.02669636679511,-1.7961234080577573,8.857183995121082,-1.5706457418933755,0.010638297872340425,-0.7197113825937617,0
PSI,Orbital area ventrolateral part,746,142.93720916389452,0.19901094268236927,17.918666626677343,0.4398638097966624,0.11222502704652002,1.0058265348738125,0
PSI,Ventral tegmental area,749,126.26410439782036,-0.4543921016919693,14.271079358732104,-0.36944183487656274,0.05420122610890732,0.020242399550657764,0
PSI,Olfactory tubercle,754,106.2506530401413,-1.2387001372387467,9.805035192299018,-1.3603419800265615,0.011828344752975117,-0.6994974133795515,1
PSI,Ventral tegmental nucleus,757,107.27146947352811,-1.1986953166201242,10.678407188838985,-1.1665632340289396,0.016516408222142086,-0.6198666255659965,0
PSI,Vascular organ of the lamina terminalis,763,92.21833377841662,-1.788613321008805,8.751149069565184,-1.594172160175133,0.005156869816083664,-0.8128181498834569,1
PSI,Nucleus x,765,99.29267568125917,-1.5113766214789275,9.423588723480627,-1.4449751245350668,0.014893617021276596,-0.6474311290399194,0
PSI,Hypoglossal nucleus,773,153.96662648516863,0.6312432687251714,16.6531202599336,0.15907167434808067,0.02560403894698882,-0.4655054061120282,0
PSI,Posterior amygdalar nucleus,780,82.55109712663051,-2.1674630881989585,6.089753077719129,-2.1846673671959196,0.002163721601153985,-0.8636593451798035,1
PSI,Nucleus y,781,99.79883188278271,-1.4915408435812576,9.089940472027777,-1.5190030760001603,0.023296069239091236,-0.504708255497163,0
PSI,Piriform-amygdalar area,788,163.8572795650301,1.0188485122537638,19.78346062592471,0.8536135569257585,0.03425892535160476,-0.3184947209177726,0
PSI,Periaqueductal gray,795,145.71907973777377,0.3080297923525665,18.84782854399177,0.6460209019398111,0.15535521096285612,1.7384297827585196,0
PSI,Zona incerta,797,127.60493929395105,-0.4018460633009787,14.260253795656537,-0.37184374843208345,0.011071042192571223,-0.712360848334049,0
PSI,Dorsal peduncular area,814,136.5635999857536,-0.05076471092735041,17.21445295529297,0.28361693825067225,0.129859358095925,1.3053608059571085,1
PSI,Dorsomedial nucleus of the hypothalamus,830,140.54003385341815,0.1050679328026883,17.549355595804265,0.3579232063319403,0.03382618103137396,-0.3258452551774854,0
PSI,Dorsal motor nucleus of the vagus nerve,839,148.06352547954248,0.3999063808185083,14.728571937271225,-0.2679360177405167,0.022033898305084745,-0.5261473137546586,0
PSI,Parasubiculum,843,94.80391949558708,-1.687286687319825,8.258163049995456,-1.70355305748469,0.007464839523981248,-0.7736153004983221,0
PSI,Dentate nucleus,846,78.59393454296347,-2.322540508723143,7.378489299188464,-1.8987300004067462,0.008294266137756943,-0.7595267765005391,1
PSI,Parvicellular reticular nucleus,852,76.10815587650795,-2.419955799461777,6.395874227493039,-2.116746970433091,0.003894698882077173,-0.8342572081409525,1
PSI,Parasolitary nucleus,859,130.7001781011116,-0.28054661199665537,15.41974715163292,-0.11458204390776652,0.03725207356653444,-0.2676535256214259,0
PSI,Parabrachial nucleus,867,145.25128429866322,0.28969733607956294,19.305875391037798,0.7476496969783315,0.11947349441038586,1.1289479837240015,0
PSI,Dorsal nucleus raphe,872,119.78244433631163,-0.7084021661765921,14.187712052954824,-0.38793889229851125,0.028020194734944104,-0.42446492316196516,1
PSI,Parabigeminal nucleus,874,154.81408071764605,0.6644541903404049,20.16197416014155,0.937595958805197,0.0034619545618463756,-0.8416077424006652,0
PSI,Retrosplenial area dorsal part,879,169.9869944668551,1.2590661822193954,20.969251226948725,1.116709942649736,0.023945185719437434,-0.49368245410759376,1
PSI,Dorsal tegmental nucleus,880,110.44197422751769,-1.0744462647773412,9.714032669200977,-1.3805330954715493,0.010421925712225028,-0.7233866497236181,0
PSI,Retrosplenial area ventral part,886,145.98394285305895,0.3184095247598113,14.40983283347484,-0.33865601343394736,0.0013342949873782906,-0.8777478691775864,1
PSI,Retrosplenial area lateral agranular part,894,164.28060668079502,1.0354382974250194,21.714652163849763,1.2820952073369187,0.0,-0.9004120164783674,0
PSI,Ectorhinal area,895,128.7481443742455,-0.3570449485542808,11.737858525352369,-0.9314982763151586,0.03526866209880995,-0.30134347431177616,1
PSI,External cuneate nucleus,903,152.67173162825122,0.580497576574535,17.2384613014185,0.28894377174672337,0.015578795528308691,-0.6357927831287076,0
PSI,Paracentral nucleus,907,121.94670992628252,-0.6235866656946996,11.857546746699045,-0.9049425434371543,0.018896501983411466,-0.5794386871375762,1
PSI,Lingula (I),912,111.43122758475326,-1.0356783709540809,10.19556429922347,-1.2736936321115864,0.012188965019834115,-0.6933719681631242,1
PSI,Entorhinal area lateral part,918,145.43155894726564,0.2967621273030917,16.919991852278347,0.2182836054745979,0.030328164442841688,-0.38526207377683036,0
PSI,Central lobule,920,106.31833737349314,-1.2360476528881101,9.310102205928352,-1.4701548591109859,0.03382618103137396,-0.3258452551774854,0
PSI,Perirhinal area,922,105.15040240695048,-1.2818179082470886,9.671970041028123,-1.3898657090348316,0.006310854670032456,-0.7932167251908894,1
